&GDS\_TSS&GDS\_TS&GDS\_SS&GDS\_DTSS&LMS&SRR&PRR&SPRR&MW&LRI\\
GDS\_TSS&---&NH&"t = 2.8873&df = 43"&NH&NH&"t = 4.7466,df = 43"&"t = 4.4734,df = 43"&"t = 3.7726,df = 43"&NH&NH\\
GDS\_TS&&---&"t = 3.2307,df = 43"&NH&NH&"t = 4.699,df = 43"&"t = 4.4148,df = 43"&"t = 3.8922,df = 43&"&NH&NH\\
GDS\_SS&&&---&"t = -3.0256,df = 43"&"t = -3.1842,df = 43"&NH&NH&NH&NH&"t = -3.4549,df = 43"\\
GDS\_DTSS&&&&---&NH&"t = 4.8382,df = 43"&"t = 4.5063,df = 43"&"t = 3.8844,df = 43"&NH&NH\\
LMS&&&&&---&"t = 4.7543,df = 43"&"t = 4.4829,df = 43"&"t = 3.9019,df = 43"&NH&NH\\
SRR&&&&&&---&NH&"t = -3.51,df = 43"&"t = -3.7406,df = 43"&"t = -7.2133,df = 43"\\
PRR&&&&&&&---&"t = -2.6575,df = 43"&"t = -3.7114,df = 43"&"t = -6.6232,df = 43"\\
SPRR&&&&&&&&---&"t = -2.8994,df = 43"&"t = -5.9037,df = 43"\\
MW&&&&&&&&&---&\\
LRI&&&&&&&&&&---
